Customer_id,Customer_dob,Customer_gender,Customer_cityCode,Customer_name
268408,02-01-1970,M,SanFrancisco,Mechelle
269696,07-01-1970,F,SanDiego,Tyesha
268159,08-01-1970,F,SanDiego,Dean
270181,10-01-1970,F,Detroit,
268073,11-01-1970,M,Chicago,Margareta
273216,15-01-1970,F,NewYork,Meghann
266929,15-01-1970,M,SanDiego,Kendrick
275152,16-01-1970,M,SanFrancisco,
275034,18-01-1970,F,SanFrancisco,Evelyne
273966,21-01-1970,M,SanDiego,Augustus
270829,22-01-1970,F,SanDiego,Shawanda
266997,23-01-1970,M,Miami,
272455,25-01-1970,M,LosAngeles,Lorriane
274593,26-01-1970,M,Oklahoma,Lacey
273391,29-01-1970,F,Detroit,Nicki
267657,29-01-1970,F,LosAngeles,Sidney
271344,29-01-1970,F,NewYork,Barbie
268275,01-02-1970,F,LosAngeles,Elden
274630,01-02-1970,M,SanFrancisco,Blossom
273541,01-02-1970,M,SanFrancisco,Joseph
270324,01-02-1970,F,Chicago,Pattie
273613,06-02-1970,M,Chicago,Genevieve
271608,09-02-1970,F,SanFrancisco,Luciano
269008,13-02-1970,F,Boston,Noe
267199,14-02-1970,,Detroit,
267916,17-02-1970,F,SanDiego,Larae
267609,18-02-1970,M,Detroit,Sharita
270602,18-02-1970,M,NewYork,Frederica
272883,19-02-1970,M,NewYork,Mara
272359,19-02-1970,M,SanFrancisco,Enola
272603,19-02-1970,F,Miami,Leslie
272028,20-02-1970,F,Chicago,Gina
274717,21-02-1970,M,LosAngeles,Marietta
273316,21-02-1970,M,Detroit,Karlyn
271262,21-02-1970,M,Detroit,Herma
267166,22-02-1970,F,SanFrancisco,Gertrud
270827,04-03-1970,F,Oklahoma,Kelsie
273423,04-03-1970,F,SanFrancisco,Selena
271692,07-03-1970,M,NewYork,Teri
274592,08-03-1970,M,NewYork,Lizette
271777,08-03-1970,M,SanDiego,Mayra
266895,12-03-1970,M,SanFrancisco,Luisa
274360,14-03-1970,M,NewYork,Genoveva
274602,15-03-1970,F,Dallas,Tandra
266799,16-03-1970,F,NewYork,Zoe
272821,17-03-1970,F,Dallas,Marquerite
267379,21-03-1970,F,Detroit,Alva
273016,22-03-1970,M,Dallas,Maudie
273106,23-03-1970,F,Detroit,Hilde
271935,26-03-1970,M,NewYork,Christiana
273109,27-03-1970,F,NewYork,Bulah
270986,27-03-1970,M,Oklahoma,Azzie
266969,28-03-1970,M,Detroit,Sharri
273871,29-03-1970,M,LosAngeles,Rebecka
273811,29-03-1970,M,SanDiego,Bryce
271312,01-04-1970,F,NewYork,Merideth
274834,02-04-1970,M,SanFrancisco,Nova
271991,02-04-1970,M,NewYork,Granville
269765,04-04-1970,F,Miami,Marquerite
272071,06-04-1970,F,Boston,Arielle
272645,14-04-1970,F,Detroit,Shona
270780,18-04-1970,F,Dallas,
272736,19-04-1970,F,Chicago,Jenni
272627,19-04-1970,F,Dallas,Cuc
272795,22-04-1970,M,Chicago,Danica
270450,24-04-1970,F,Dallas,Shaquana
266862,24-04-1970,F,NewYork,Brinda
274535,26-04-1970,F,SanFrancisco,Janell
269640,29-04-1970,M,LosAngeles,Karri
268290,29-04-1970,M,LosAngeles,Enid
275250,02-05-1970,F,Chicago,Desire
272555,03-05-1970,M,Chicago,Brian
268732,06-05-1970,M,Detroit,
271478,06-05-1970,F,Chicago,Gilda
267529,09-05-1970,M,SanFrancisco,Princess
271066,10-05-1970,M,SanDiego,Earlie
267819,10-05-1970,F,Miami,Fumiko
269271,12-05-1970,F,NewYork,Sherie
273150,14-05-1970,F,Oklahoma,Gricelda
267386,15-05-1970,M,LosAngeles,Serafina
274350,16-05-1970,F,Dallas,Sachiko
273645,22-05-1970,F,SanFrancisco,Jena
270911,22-05-1970,M,Detroit,Shelby
268424,23-05-1970,F,SanDiego,Margareta
271045,23-05-1970,F,LosAngeles,Dinorah
268627,01-06-1970,M,Miami,Kiyoko
270430,01-06-1970,M,LosAngeles,Danny
271626,02-06-1970,,Boston,Nolan
272301,03-06-1970,F,SanDiego,Lesli
269531,05-06-1970,M,Detroit,Donya
274849,09-06-1970,M,SanFrancisco,Palma
271031,09-06-1970,F,Detroit,Kenny
272018,09-06-1970,F,Boston,Kristen
272186,09-06-1970,M,Oklahoma,Karoline
270047,10-06-1970,M,Chicago,Alan
274128,10-06-1970,M,Oklahoma,
268313,11-06-1970,F,SanDiego,Alyson
270933,15-06-1970,M,SanDiego,Francis
271072,16-06-1970,M,Boston,Riley
271465,17-06-1970,F,Miami,Carmina
274770,17-06-1970,F,Detroit,Alethia
270676,19-06-1970,M,NewYork,Deborah
273529,19-06-1970,F,Chicago,Marvella
273162,19-06-1970,M,SanDiego,Sallie
268533,23-06-1970,F,Boston,Scottie
275246,25-06-1970,M,Dallas,Beatriz
267066,25-06-1970,F,Oklahoma,Mason
269345,26-06-1970,F,Oklahoma,Regenia
275116,29-06-1970,M,NewYork,Necole
273840,01-07-1970,M,Dallas,Samantha
268792,04-07-1970,M,SanFrancisco,Lida
274892,05-07-1970,F,SanDiego,Bette
273708,09-07-1970,F,LosAngeles,Illa
272495,10-07-1970,M,SanDiego,Magdalena
272926,11-07-1970,F,SanFrancisco,Sol
268447,14-07-1970,M,Dallas,Angelyn
273442,16-07-1970,M,SanFrancisco,Lorie
267081,17-07-1970,F,Dallas,Darlena
267042,23-07-1970,M,SanDiego,Ivory
273151,24-07-1970,F,SanFrancisco,Keva
274169,24-07-1970,F,Chicago,Krystin
270130,26-07-1970,M,Miami,Margarito
274546,26-07-1970,M,Dallas,
273575,27-07-1970,M,Chicago,Alayna
267280,02-08-1970,M,NewYork,Deeann
267304,03-08-1970,M,SanFrancisco,Guy
274445,06-08-1970,M,SanDiego,Ming
270678,06-08-1970,F,SanFrancisco,Mickey
270328,07-08-1970,F,SanFrancisco,Mellissa
269449,09-08-1970,M,Boston,Lesia
275014,12-08-1970,M,SanFrancisco,Pauletta
269825,21-08-1970,M,SanFrancisco,Solomon
271750,23-08-1970,F,Boston,Neville
267826,24-08-1970,F,LosAngeles,Vera
272501,26-08-1970,F,Chicago,Lawerence
273587,29-08-1970,F,Chicago,Cedrick
272721,01-09-1970,M,SanDiego,Melinda
275134,02-09-1970,F,SanDiego,Alma
267713,03-09-1970,M,Chicago,Francis
274029,03-09-1970,F,Chicago,Minerva
272261,03-09-1970,F,Miami,Nikki
274628,04-09-1970,M,NewYork,Lore
273776,06-09-1970,F,Detroit,Marlena
274743,06-09-1970,M,SanFrancisco,Darius
270051,07-09-1970,M,SanDiego,Sade
274455,08-09-1970,F,Oklahoma,Sybil
272088,08-09-1970,M,NewYork,Zoraida
273583,08-09-1970,M,NewYork,Raina
267490,09-09-1970,F,SanFrancisco,Elsa
268709,09-09-1970,F,SanFrancisco,Bernadine
267536,10-09-1970,M,Dallas,
271286,10-09-1970,M,Chicago,Mariana
273517,11-09-1970,M,NewYork,Nakita
268365,12-09-1970,M,NewYork,Aletha
266959,13-09-1970,F,Chicago,Dwain
272408,13-09-1970,M,Boston,Thea
271177,14-09-1970,F,NewYork,Caleb
274180,14-09-1970,M,Boston,Sparkle
267613,15-09-1970,M,Dallas,Narcisa
270748,17-09-1970,M,NewYork,Sherwood
274682,19-09-1970,M,Oklahoma,Jeanice
266822,20-09-1970,F,Miami,Bert
272017,22-09-1970,M,SanDiego,Dorotha
267424,22-09-1970,M,LosAngeles,Anisha
272402,23-09-1970,F,Oklahoma,Rufus
274194,24-09-1970,M,NewYork,Roslyn
274232,26-09-1970,F,NewYork,Noelle
272777,29-09-1970,M,LosAngeles,Shanae
273372,29-09-1970,F,Chicago,William
273398,01-10-1970,F,Chicago,Adolfo
267707,02-10-1970,F,Detroit,Xenia
273170,03-10-1970,F,SanDiego,Brenton
271924,03-10-1970,M,NewYork,Hal
270446,05-10-1970,M,Oklahoma,Geraldine
273353,07-10-1970,F,SanFrancisco,
270331,08-10-1970,F,Oklahoma,Meghan
269676,09-10-1970,M,SanDiego,Lavern
269919,11-10-1970,M,Chicago,Cyrus
268312,12-10-1970,F,Miami,Leeanne
267959,12-10-1970,M,Boston,Nilda
268998,12-10-1970,F,LosAngeles,Marylee
272784,14-10-1970,F,SanDiego,Gay
270619,16-10-1970,M,Boston,Janel
274865,18-10-1970,F,SanDiego,Damaris
273705,20-10-1970,M,NewYork,Jeanine
